date,daily_total,daily_budget,monthly_budget,month_to_date
2025-04-14,0.0224436968,0.33,9.9,0.12141073789999998
2025-04-15,0.0097164283,0.33,9.9,0.12141073789999998
2025-04-16,0.0097161362,0.33,9.9,0.12141073789999998
2025-04-17,0.0503874821,0.33,9.9,0.12141073789999998
2025-04-18,0.009715980499999999,0.33,9.9,0.12141073789999998
2025-04-19,0.0097158024,0.33,9.9,0.12141073789999998
2025-04-20,0.0097152116,0.33,9.9,0.12141073789999998
